eval,best_fitness,best_cov,best_time,best_size,is_feasible,best_selected_tests,best_included_elements
80,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
81,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
82,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
83,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
84,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
85,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
86,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
87,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
88,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
89,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
90,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
91,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
92,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
93,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
94,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
95,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
96,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
97,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
98,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
99,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
100,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
101,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
102,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
103,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
104,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
105,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
106,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
107,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
108,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
109,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
110,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
111,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
112,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
113,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
114,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
115,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
116,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
117,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
118,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
119,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
120,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
121,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
122,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
123,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
124,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
125,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
126,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
127,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
128,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
129,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
130,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
131,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
132,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
133,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
134,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
